ID,Video Name,YT-ID,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
1,"1. Sitzung, TOP 1： Eröffnung der Sitzung durch den Alters­präsidenten ",gQAkjwQ1U2M,1280.0 x 720.0,2551.96,25,63799,2023-03-21,366.57,572,266,4891,31102
2,"1. Sitzung, TOP 2： Beschluss­fassung über Geschäfts­ordnungen ",OU5gyx1oG2c,1280.0 x 720.0,2107.96,25,52699,2023-03-21,239.66,539,245,4882,29811
3,"1. Sitzung, TOP 3： Wahl der Präsidentin­⧸des Präsidenten ",aZX-iPTEHJs,1280.0 x 720.0,4467.96,25,111699,2023-03-21,607.79,419,65,3490,19926
4,"1. Sitzung, TOP 4： Amtsübernahme durch die Präsidentin ",MKGZbA29AmI,1280.0 x 720.0,1209.96,25,30249,2023-03-21,166.14,259,132,2237,13590
5,"1. Sitzung, TOP 5-7： Festlegung der Zahl und Wahl der Stell­ver­treterinnen­⧸Stell­vertreter der Pr ",nF6eF_xgKiw,1280.0 x 720.0,9773.96,25,244349,2023-03-21,811.26,220,138,1782,10709
6,"212. Sitzung, TOP 10, ZP 6-8： Globale Bekämpfung von COVID-19 ",7y7Ye1NbUNs,1280.0 x 720.0,4929,25,123225,2023-03-21,675.01,1272,640,11174,71488
7,"212. Sitzung, ZP 5： Corona-Selbst­tests ",FGB6EuFgp94,1280.0 x 720.0,4590,25,114750,2023-03-21,524.91,1227,604,11113,67790
8,"213. Sitzung, TOP 18： Weiter­entwicklung der Gesundheits­versorgung ",F4wC7h9m2yc,1280.0 x 720.0,4423,25,110575,2023-03-21,513.87,1140,535,9840,64350
9,"213. Sitzung, TOP 19： Direkte Demokratie auf Bundes­ebene ",Pmvdx1E4L0A,1280.0 x 720.0,4741,25,118525,2023-03-21,547.74,1233,601,11143,70734
10,"213. Sitzung, TOP 22, ZP 18： Pandemie­bedingte Wirtschafts­hilfen für Unternehmen ",_zWNEwcRr58,1280.0 x 720.0,4535,25,113375,2023-03-21,628.06,1245,636,11337,70322
11,"215. Sitzung, TOP 11： Wirtschafts­hilfen, Kurzarbeiter­geld ",-3BlYuLIpD8,1280.0 x 720.0,4708,25,117700,2023-03-21,543.71,1271,667,11589,71346
12,"215. Sitzung, TOP 8, ZP 3： Epidemische Lage von nationaler Tragweite ",sfpy3avPdEw,1280.0 x 720.0,5122,25,128050,2023-03-21,594,1280,643,11386,72341
13,"215. Sitzung, TOP 9： Wirtschafts­politik - Lock­down ",uIbcQTWRbk8,1280.0 x 720.0,5045,25,126125,2023-03-21,603.89,1390,827,12928,79475
14,"228. Sitzung, ZP 22-24： Klima&shy;schutz, EEG ",BShfQ9nf0Cc,1280.0 x 720.0,5274,25,131850,2023-03-21,721.66,1402,838,12851,78745
15,"237. Sitzung, TOP 39： Versteuerung von Übergewinnen, Investitions&shy;pflicht ",hNKsqvQ1m_s,1280.0 x 720.0,4185,25,104625,2023-03-21,569.96,1166,603,10606,65764
16,"60. Sitzung, TOP 7： Bürgergeld-Gesetz, Sozialer Arbeits­markt ",R9bmWy8d_Gs,1280.0 x 720.0,5654.12,25,141353,2023-03-21,817.34,1472,810,13861,83341
17,Antrag für mehr Tempo in Bereichen der Barriere­freiheit überwiesen ,zAsT2JbDzgk,1280.0 x 720.0,2896,25,72400,2023-03-21,354.91,767,390,7029,44171
18,"60. Sitzung, TOP 17： Strom- und Gas­sperren, Gas- und Strom­preis­deckel ",2BfQpeS9hJ0,1280.0 x 720.0,4592,25,114800,2023-03-21,568.25,1318,691,12084,72910
19,"60. Sitzung, TOP 9： Wohn­geld-Plus-Gesetz, Heiz­kosten­zuschuss­gesetz ",u_G3LaLGnas,1280.0 x 720.0,4544.12,25,113603,2023-03-21,634,1294,726,12188,73639
20,"60. Sitzung, ZP 3： Migrations­politischer Sonder­weg in Europa ",uJLDZBfULSM,1280.0 x 720.0,5308,25,132700,2023-03-21,688.48,1438,820,13614,82421
21,AfD-Anträge gegen Ge­mein­nützigkeit politischer Organisationen abgelehnt ,UXx5MD87PFA,1280.0 x 720.0,4800,25,120000,2023-03-21,597.63,1231,613,10945,70033
22,Antrag zur Gewinnung von Fach- und Arbeitskräften im Inland abgelehnt ,_c3xXHrIZLQ,1280.0 x 720.0,4694.2,25,117355,2023-03-21,588.36,1264,704,11767,73425
23,Besserer Schutz für hin­weis­gebende Personen im beruf­lichen Umfeld beschlossen ,X-6uwJoJJ10,1280.0 x 720.0,2790,25,69750,2023-03-21,378.17,760,412,7010,44833
24,Boris Pistorius zum Verteidigungsminister vereidigt ,AcQQQ8lSHOc,1280.0 x 720.0,368,25,9200,2023-03-21,50.66,62,32,492,3205
25,Bundeskanzler Scholz will Kräfte für Wiederaufbau der Ukraine bündeln ,JLRU9K3X6Fk,1280.0 x 720.0,9135.64,25,228391,2023-03-21,1099.49,2230,1148,20611,128157
26,Bundestag beschließt Inflationsausgleichsgesetz ,17_ArcGECic,1280.0 x 720.0,2974.12,25,74353,2023-03-21,423.76,785,430,7114,44312
27,Bundestag beschließt Strom- und Gaspreisbremse ,40t1EkiShoM,1280.0 x 720.0,5840,25,146000,2023-03-21,874.65,1491,815,14226,85982
28,Bundestag debattiert EU-Antwort auf das US-Gesetz zur Inflationsbekämpfung ,m3iRkN_osPI,1280.0 x 720.0,4646.28,25,116157,2023-03-21,621.33,1302,711,11700,73357
29,Bundestag erhebt sich zu Ehren von Michail Gorbatschow ,yhf6J6ggsAE,1280.0 x 720.0,1174.64,25,29366,2023-03-21,155.93,217,136,1959,12428
30,Bundestag führt das Chancen-Aufenthaltsrecht ein ,GFkc96CRnrI,1280.0 x 720.0,5578,25,139450,2023-03-21,831.04,1456,810,13274,81832
31,Bundestag lehnt Oppositions­antrag zur Unterstützung der Iran-Proteste ab ,Bmen6DHf8mY,1280.0 x 720.0,5108.24,25,127706,2023-03-21,741.87,1312,711,12081,74893
32,Bundestag lehnt Vermögens­abgabe für Milliardäre und Multi­millionäre ab ,KHS8Lxfgc5g,1280.0 x 720.0,4484.04,25,112101,2023-03-21,561.41,1260,670,11797,72791
33,Bundestag senkt befristet Umsatzsteuer auf Gas auf sieben Prozent ,cPGP_X-ikmk,1280.0 x 720.0,4714,25,117850,2023-03-21,546.69,1225,676,12143,73993
34,Bundestag stimmt für Bürgergeld-Gesetz ,vgxFtTBl924,1280.0 x 720.0,8296.12,25,207403,2023-03-21,1241.36,1648,973,15569,93610
35,Bundestag stimmt für Erhöhung des Wohngeldes ,7us6V0zlYrk,1280.0 x 720.0,3580,25,89500,2023-03-21,460.03,994,568,8822,54366
36,Bundestag stimmt Handelsabkommen mit Kanada zu ,AqHbMJjWvlM,1280.0 x 720.0,5566,25,139150,2023-03-21,685.72,1432,799,13406,83073
37,Bundestag würdigt Annemarie Renger und Wolfgang Schäuble ,wJgZRHNiXiQ,1280.0 x 720.0,1997.52,25,49938,2023-03-21,266.14,370,168,3327,21666
38,Bundestag überweist Gesetz zur Tierhaltungs­kenn­zeichnung ,CInuuDdUDVg,1280.0 x 720.0,4880.12,25,122003,2023-03-21,648.46,1358,740,12210,76496
39,Bundestag： Altmaier sieht Chance für neuen Aufschwung in diesem Jahr ,-BmVcUeKmUQ,640.0 x 360.0,5382,25,134550,2023-03-21,301.66,1074,791,13562,84651
40,Bundestag： Arbeitgeberzuschüsse zum Kurz­arbeitergeld sollen steuerfrei bleiben ,ZHrtxjjDVkE,640.0 x 360.0,2361.08,25,59027,2023-03-21,125.51,486,354,5972,37248
41,Bundestag： Einbürgerung der Nach­fah­ren NS-Verfolgter wird nicht per Gesetz geregelt ,-0NMmkooMsc,640.0 x 360.0,5651,25,141275,2023-03-21,300.58,873,566,10684,66849
42,Energiepolitik spaltet Koalitions- und Oppositionsfraktionen ,Kk8BLA9YIeY,1280.0 x 720.0,4618.12,25,115453,2023-03-21,545.39,1295,756,12042,72786
43,Entwurf zur Verkleinerung des Bundestages stößt bei der Union auf scharfe Kritik ,VNrpzjnZ-iY,1280.0 x 720.0,5020.12,25,125503,2023-03-21,657.09,1317,689,12624,76800
44,Finanzhilfen des Bundes für öffentlichen Personen­nahverkehr beschlossen ,QQONC5ec0qc,640.0 x 360.0,2676,25,66900,2023-03-21,150.13,538,415,6679,42039
45,Forderung nach schnelleren Brücken-Sanierungen an Bundesfernstraßen erörtert ,ADNfy5j17so,1280.0 x 720.0,5066.12,25,126653,2023-03-21,631.27,1315,770,12347,76605
46,Fraktionen positionieren sich zur Politik für das Handwerk ,1-9ZYAIu8zE,1280.0 x 720.0,4895,25,122375,2023-03-21,598.26,1229,622,10968,69219
47,Fraktionen sehen Stunde der Di­plo­ma­tie im Ukraine-Russland-Konflikt ,uzDTA0mx2Po,1280.0 x 720.0,4244,25,106100,2023-03-21,464.92,1064,482,9804,61132
48,Fraktionen streiten über AKW-Laufzeitverlängerung ,duHwO2w8a8Q,1280.0 x 720.0,4770.12,25,119253,2023-03-21,615.54,1281,685,11803,73256
49,Gebärdensprach-Kinderfilm： ＂Applaus für Felix - Ein Tag im Bundestag＂ ,pyZbZItCZFI,1280.0 x 720.0,1793.2,25,44830,2023-03-21,380.35,391,321,6078,21654
50,Gebärdensprachvideo ： Direkt­investitionen aus Nicht-EU-Staaten sollen ge­nauer ge­prüft werden ,I0kR2G3093g,640.0 x 360.0,2294,25,57350,2023-03-21,153.28,464,333,5768,35219
51,Gebärdensprachvideo：  AfD-Antrag über Islam erntet Wider­spruch übriger Fraktionen ,ZbtmVBQaFXI,640.0 x 360.0,4920,25,123000,2023-03-21,205.32,1685,663,13006,78824
52,Gebärdensprachvideo：  Regierungserklärung zur Tagung der Staats- und Regierungschefs der EU-27 ,kaTfo6pBWZw,640.0 x 360.0,7698,25,192450,2023-03-21,300.77,1768,869,17802,110003
53,Gebärdensprachvideo：  Vorschläge von AfD und FDP zur Grund­steuer in der Kritik ,GOVPCmQ3kMo,640.0 x 360.0,4078,25,101950,2023-03-21,213.17,1053,719,11231,67690
54,Gebärdensprachvideo： 19. Bundestag tritt zusammen ,dVOi_Z0D8J8,640.0 x 360.0,6379.6,25,159490,2023-03-21,330.16,1017,521,9004,54714
55,Gebärdensprachvideo： 212. Sitzung： Cannabis-Arzneimittel für Schwerkranke zugelassen ,tWD71PgjFhU,640.0 x 360.0,2735.52,25.00036556,68389,2023-03-21,139.45,621,362,6368,40732
56,Gebärdensprachvideo： 215. Sitzung： Finanzaufsichtsrecht­ ,nSL9soXcpw0,640.0 x 360.0,3924.36,25,98109,2023-03-21,200.79,977,561,10567,64918
57,Gebärdensprachvideo： 215. Sitzung： Inklusives Wachstum ,1FWLNWrAQXk,640.0 x 360.0,7296.64,25,182416,2023-03-21,382.42,1807,1020,19294,116290
58,Gebärdensprachvideo： 30 Jahre friedliche Revolution ,Z7e08cNG26Q,638.0 x 360.0,4434,25,110850,2023-03-21,231.14,1465,649,11404,67301
59,Gebärdensprachvideo： 55 Jahre Élysée-Vertrag ,EjIn08fZr6M,640.0 x 360.0,7605,25,190125,2023-03-21,348.6,1625,791,15980,97895
60,Gebärdensprachvideo： 70 Jahre Gründung des Staates Israel ,2e4SyOa6U1Y,638.0 x 360.0,4806.04,25,120151,2023-03-21,191.3,1336,513,10666,65445
61,Gebärdensprachvideo： Abgeordnete befragen die Bundeskanzlerin ,e-1lMZ21OPg,640.0 x 360.0,276.28,25,6907,2023-03-21,11.25,1076,520,10786,66204
62,Gebärdensprachvideo： Abgeordnete fordern inter­natio­nale Gesund­heits­kooperation ,C4gkzG6G08k,640.0 x 360.0,4605,25,115125,2023-03-21,243.77,806,543,10016,63303
63,Gebärdensprachvideo： Abschaffung des Soli­daritäts­zuschlags auf dem Weg ,QoWfOJ5H5tw,1280.0 x 720.0,4706,25,117650,2023-03-21,602.42,899,658,10899,67749
64,Gebärdensprachvideo： AfD fordert Bericht zur Finan­zierung der Migrations­politik ,sZd6bSe10VU,640.0 x 360.0,3941,25,98525,2023-03-21,213.53,794,572,9601,59434
65,Gebärdensprachvideo： AfD fordert ＂faktenbasierte Klimapolitik＂ ,3-LM7U3ZmoM,640.0 x 360.0,4439,25,110975,2023-03-21,209.22,1252,668,12092,70991
66,Gebärdensprachvideo： AfD kritisiert Corona-Anleihe­kauf­programm der EZB ,AeOeMfaJMzA,640.0 x 360.0,4387,25,109675,2023-03-21,227.27,852,597,10532,66045
67,Gebärdensprachvideo： AfD will inländische Ar­beits­kräfte gegenüber ein­gewan­derten bevor­zugen ,bAPlf5YakHs,640.0 x 360.0,4103,25,102575,2023-03-21,213.26,831,548,10105,61779
68,Gebärdensprachvideo： AfD-Antrag zur Aufgabe der Klimaschutz-Ziele stößt auf breite Kritik ,fRoH1sgUNzo,1280.0 x 720.0,4404,25,110100,2023-03-21,555.23,1143,812,14460,80415
69,Gebärdensprachvideo： AfD-Anträge zu Grund­rechten stoßen auf Widerspruch ,joqd-Mvpa6E,640.0 x 360.0,4491,25,112275,2023-03-21,240.52,929,652,11727,72011
70,Gebärdensprachvideo： AfD-Entwurf zur Be­teili­gung von Par­teien an Me­dien­un­terneh­men beraten ,Qi3dT5R29r4,640.0 x 360.0,4030,25,100750,2023-03-21,214.2,793,558,9850,61288
71,Gebärdensprachvideo： Aktuelle Entwicklung im Nahen und Mittleren Osten ,eueRhYex-Vw,640.0 x 360.0,4373,25,109325,2023-03-21,168.65,1118,488,11062,67342
72,Gebärdensprachvideo： Aktuelle Stunde zu Brexit und Europäischem Rat ,ZU8SpjiHbYU,640.0 x 360.0,4466,25,111650,2023-03-21,196.05,1139,609,11046,67495
73,Gebärdensprachvideo： Aktuelle Stunde zur Lage im Nahen und Mittleren Osten ,ifvsH8mNKTc,640.0 x 360.0,4145.92,25,103648,2023-03-21,167.28,969,533,10666,63874
74,"Gebärdensprachvideo： Aktuelle Stunde, Schulden Irlands und Stahlstandorte ",fyOhmy4pKoA,640.0 x 360.0,10652.72,25,266318,2023-03-21,455.13,2248,1216,21963,135968
75,"Gebärdensprachvideo： Algerien, Marokko und Tu­ne­sien bleiben keine si­cheren Herkunfts­staaten ",yqTilccMEsk,640.0 x 360.0,5658,25,141450,2023-03-21,233.77,1516,654,11888,72469
76,"Gebärdensprachvideo： Altmaier ist optimistisch, Vorpandemie-Niveau im nächsten Jahr zu erreichen ",Xw9UGcWtCY8,1280.0 x 720.0,5638,25,140950,2023-03-21,719.77,1443,728,13317,82143
77,Gebärdensprachvideo： Amtseid des neuen Bundespräsidenten ,J2Shpz9Q684,640.0 x 360.0,4605.88,25.00021711,115148,2023-03-21,236.01,819,402,8631,51208
78,Gebärdensprachvideo： Antrag zu Enquete-Kommission： Direkte Demokratie ,aCn5-Jl2cv4,640.0 x 360.0,4610,25,115250,2023-03-21,188.17,1031,579,11594,71156
79,Gebärdensprachvideo： Antrittsrede des neuen Bundestagspräsidenten ,C3UWlCeUG3M,640.0 x 360.0,7292.96,25,182324,2023-03-21,260.04,486,291,4817,28827
80,Gebärdensprachvideo： Anträge der Linken zur Ost-West-Renten­angleichung abgelehnt ,v8mCYEfPl-Y,1280.0 x 720.0,4314,25,107850,2023-03-21,557.94,1397,981,18107,100753
81,Gebärdensprachvideo： Anträge für mehr Barriere­freiheit abgelehnt ,B7g4-r3ic3U,640.0 x 360.0,2613,25,65325,2023-03-21,145.68,539,442,6349,40538
82,Gebärdensprachvideo： Anträge von AfD und Grünen zum Er­neuerbare-Energien-Gesetz ab­gelehnt ,eCQeXWZmKgs,640.0 x 360.0,4171,25,104275,2023-03-21,224,853,610,10541,64032
83,Gebärdensprachvideo： Anträge von AfD und Grü­nen zur Auf­ar­bei­tung ko­lo­nia­len Un­rechts beraten ,vF7zcPZVflg,640.0 x 360.0,4647.08,25,116177,2023-03-21,249.2,854,579,10391,64344
84,Gebärdensprachvideo： Anträge zu Bildung und Digi­talisierung abgestimmt ,d8BOe2CC6-M,640.0 x 360.0,4982,25,124550,2023-03-21,259.98,957,696,11521,72716
85,Gebärdensprachvideo： Anträge zu Neurege­lungen für Privatver­sicherte kontrovers erörtert ,11WPetsupMk,640.0 x 360.0,3907,25,97675,2023-03-21,211.96,1439,560,10488,65272
86,Bundestag： Kontroverse um Einfüh­rung einer auto­matisierten Gesichtser­kennung ,T1kuVTYxgGg,640.0 x 360.0,4550,25,113750,2023-03-21,245.67,905,619,11257,69050
87,Gebärdensprachvideo： 212. Sitzung： Ernährungs- und Landwirtschaftspolitik ,OfUuRS1ftNE,640.0 x 360.0,3062.52,25.00032653,76564,2023-03-21,155.8,1826,1022,18419,113377
88,Gebärdensprachvideo： Abschiedsrede von Bundestagspräsident Lammert ,8Pd0Hsc0Ovs,640.0 x 360.0,1280.44,25,32011,2023-03-21,52.93,226,65,2015,12608
89,Gebärdensprachvideo： AfD-Vorstoß zur Einhal­tung der Schulden­bremse stößt auf Wider­spruch ,0PmjfvRqndM,1280.0 x 720.0,4028,25,100700,2023-03-21,459.18,1123,550,10388,62328
90,Gebärdensprachvideo： Arbeitsförderung & Barrierefreiheit ,Z6e5bbsafps,640.0 x 360.0,3157,25,78925,2023-03-21,128.25,825,456,8230,51667
91,Gebärdensprachvideo： Arbeitsplätze für schwerbehinderte Menschen ,GFaoPu3fuOc,640.0 x 360.0,2587,25,64675,2023-03-21,133.99,807,407,7019,43461
92,Gebärdensprachvideo： Arbeits­programm 2020 der EU-Kommission stößt im Bundestag auf ge­mischtes Echo ,y8mIErdwVGQ,640.0 x 360.0,4662,25,116550,2023-03-21,235.13,912,632,11747,72381
93,Gebärdensprachvideo： Barrierefreiheit im Internet ,G4Ltu0WuUOQ,638.0 x 360.0,5793.56,25,144839,2023-03-21,227.31,1477,749,15014,92542
94,Gebärdensprachvideo： Befragung der Bundeskanzlerin ,iz9o1zkwTpg,1280.0 x 720.0,4435.56,25,110889,2023-03-21,702.58,1577,748,12553,77317
95,Gebärdensprachvideo： Befragung der Bundesregierung - Merkel will Bonpflicht gegen Steuer­betrug ,ZeI42QuoSr4,638.0 x 360.0,4301.2,25,107530,2023-03-21,231.89,887,644,11177,68219
96,Gebärdensprachvideo： Befragung der Bundesregierung mit Bundeskanzlerin ,LWN9o_wwIMc,640.0 x 360.0,4115,25,102875,2023-03-21,223.94,1516,614,11824,73581
97,Gebärdensprachvideo： Befragung der Bundesregierung ,rqkdSbjcWUE,640.0 x 360.0,2968.84,25,74221,2023-03-21,120.1,680,361,7323,45244
98,Gebärdensprachvideo： Beiträge auf Betriebs­renten unter den Fraktionen umstritten ,uZS2d0rePL8,640.0 x 360.0,4172,25,104300,2023-03-21,168.36,897,404,8834,53130
99,Gebärdensprachvideo： Bekanntgabe der Bildung der Bundesregierung ,TUCJHl1mAp0,640.0 x 360.0,111,25,2775,2023-03-21,4.04,32,4,233,1576
100,Gebärdensprachvideo： Bericht des Petitionsausschusses für 2017 ,-E5fsKlgIQk,640.0 x 360.0,4671,25,116775,2023-03-21,186.87,1298,569,12910,78097
101,Gebärdensprachvideo： Berufliche Bildung ,06qQf-iiNCg,640.0 x 360.0,4089,25,102225,2023-03-21,216.71,1606,641,10920,68460
102,Gebärdensprachvideo： Besseren Arbeits- und Tierschutz in der Fleisch­branche debattiert ,6VkvdZt4tYc,640.0 x 360.0,5713,25,142825,2023-03-21,304.53,1128,780,13614,84230
103,Gebärdensprachvideo： Betrieb von Braunkohlekraftwerken ,7nE5wvEoe7c,640.0 x 360.0,5211,25,130275,2023-03-21,196.14,1284,740,14707,86638
104,Gebärdensprachvideo： Be­kämpfung illegaler Beschäf­tigung erörtert ,RtKZKyLPU_o,640.0 x 360.0,4761,25,119025,2023-03-21,260.62,1762,792,12432,78284
105,Gebärdensprachvideo： Brexit - Fraktionen warnen vor Absen­kung von EU-Standards ,udzSn9BlfdY,640.0 x 360.0,4477.04,25,111926,2023-03-21,237.71,862,603,10708,65831
106,Gebärdensprachvideo： Brexit ,3x0XpWSubVM,640.0 x 360.0,4703,25,117575,2023-03-21,241.25,1199,831,12917,76176
107,Gebärdensprachvideo： Brexit-Übergangsgesetz ,oX4Y0L9tnjk,640.0 x 360.0,4433,25,110825,2023-03-21,238.56,1369,695,11539,68437
108,"Gebärdensprachvideo： Bund will 5,5 Milliarden Euro in Kita-Qualität investieren ",K3QHLLTJ0zc,640.0 x 360.0,4654,25,116350,2023-03-21,188.64,1254,623,13119,76668
109,Gebärdensprachvideo： Bund-Länder-Einigung beim Ausbau der Ganz­tags­betreuung angemahnt ,VFc0VHLNzCI,640.0 x 360.0,4639.32,25,115983,2023-03-21,247.56,932,707,11750,72147
110,Gebärdensprachvideo： Bundeskanzlerin Merkel hält Brexit-Einigung in Brüssel für möglich ,zHkNrXDr-mI,1280.0 x 720.0,7478,25,186950,2023-03-21,944.04,1724,944,22115,128417
111,Gebärdensprachvideo： Bundestag beschließt Ent­lastung beim Solidaritäts­zuschlag ,5aW3o-XTllI,640.0 x 360.0,5007,25,125175,2023-03-21,282.82,888,638,11012,67304
112,Gebärdensprachvideo： Bundestag beschließt Wieder­aufnahme der Zusammen­arbeit mit dem Sudan ,6PPY0JnVqJY,640.0 x 360.0,4152,25,103800,2023-03-21,221.55,728,519,8935,57409
113,Gebärdensprachvideo： Bundes­regierung will weniger Soldaten für Kosovo-Mission ein­setzen ,G_lNDQkfaU8,640.0 x 360.0,2927,25,73175,2023-03-21,149.3,1018,413,7228,46211
114,Gebärdensprachvideo： Chancen und Risiken der Arbeit 4.0 ,EAbFngaGasA,640.0 x 360.0,5923.04,25,148076,2023-03-21,302.26,1487,875,15011,91661
115,Gebärdensprachvideo： Chemnitz dominiert Generalaussprache des Bundestages ,2xk68KlMwok,640.0 x 360.0,14195,25,354875,2023-03-21,521.44,3420,1941,35989,212729
116,Gebärdensprachvideo： Corona-Maß­nah­men sind erfor­der­lich und verhältnismäßig ,chLkHZwj1YM,640.0 x 360.0,8346.36,25,208659,2023-03-21,441.2,1584,1070,19906,122237
117,Gebärdensprachvideo： Debatte zu gleichwertigen Lebensverhältnissen ,4LaVHxgXVIc,640.0 x 360.0,8612,25,215300,2023-03-21,343.38,2870,1391,22731,138735
118,Gebärdensprachvideo： Debatte zu Mietpreispolitik ,Wi3yz2b4yfs,640.0 x 360.0,5623,25,140575,2023-03-21,259.51,1342,812,15041,89061
119,Gebärdensprachvideo： Debatte zu Russlandpolitik ,70z9bOBOvjQ,640.0 x 360.0,4985,25,124625,2023-03-21,277.55,1705,814,13455,82837
120,Gebärdensprachvideo： Debatte zu sozialem Wohnungsbau ,4j84OiKgdsE,640.0 x 360.0,4352.48,25,108812,2023-03-21,195.51,1076,650,11455,68665
121,Gebärdensprachvideo： Debatte zur Rechtsstaatlichkeit in der Türkei ,S0AZqR3ff18,640.0 x 360.0,4497,25,112425,2023-03-21,165.56,1083,570,11669,71048
122,Gebärdensprachvideo： Bundestag beschließt Über­gang der Stasi-Akten ins Bundes­archiv ,SZ5asYV1-eU,640.0 x 360.0,4465,25,111625,2023-03-21,239.46,806,534,9847,62108
123,Gebärdensprachvideo： Bundestag be­schließt bessere Ver­sor­gung von Intensiv-Pflege­bedürftigen ,YtG9z-q1o-4,640.0 x 360.0,3353,25,83825,2023-03-21,166.15,699,497,8419,51519
124,Gebärdensprachvideo： Bundestag billigt mit breiter Mehr­heit Nach­trags­haus­halt für 2020 ,GdNQoyMGglA,640.0 x 360.0,3846,25,96150,2023-03-21,206.89,758,523,9317,58117
125,Gebärdensprachvideo： Bundestag debattiert Oppositions­vorlagen zu Hartz IV-Re­formen ,2SR6ZUxjpAU,640.0 x 360.0,4833,25,120825,2023-03-21,258.47,982,719,12429,75308
126,Gebärdensprachvideo： Bundestag debattiert Organspenden - Mehrheit für die Entscheidungslösung ,KCZMPvN9w-8,640.0 x 360.0,10910,25,272750,2023-03-21,602.42,1715,1205,21703,129620
127,"Gebärdensprachvideo： Bundestag debattiert zu Einwanderung, Flüchtlingen und Bildung ",DN1tvLmHhKU,640.0 x 360.0,8818.2,25,220455,2023-03-21,456.36,2272,1155,22121,136745
128,Gebärdensprachvideo： Bundestag erhebt sich zu Ehren von Hans-Jochen Vogel ,cMhyeNoaveU,640.0 x 360.0,536.8,25,13420,2023-03-21,29.45,95,66,1144,7260
129,Gebärdensprachvideo： Bundestag erhebt sich zu Ehren von Klaus Kinkel ,BOIzg5tagKc,640.0 x 360.0,321,25,8025,2023-03-21,17.08,85,35,636,4192
