ID,Video Name,Release Date,Webpage URL,Video URL,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
143,heute journal-heute journal vom 11. November 2022 (Gebärdensprache)-1321255474,2022-11-11,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-11-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221111_2200_sendung_hjo_dgs/1/221111_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1808,68",25,45217,08/01/2022,127.96,511,320,3528,24743
144,heute journal-heute journal vom 12. November 2022 (Gebärdensprache)-0914929676,2022-11-12,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-12-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221112_2244_sendung_hjo_dgs/1/221112_2244_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"897,88",25,22447,08/01/2022,56.43,288,152,1864,13093
145,heute journal-heute journal vom 13. November 2022 (Gebärdensprache)-1625019958,2022-11-13,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-13-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221113_2145_sendung_hjo_dgs/1/221113_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1694,24",25,42356,08/01/2022,117.93,480,285,3452,23671
146,heute journal-heute journal vom 14. November 2022 (Gebärdensprache)-0144054244,2022-11-14,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-14-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221114_2145_t_hjo_dgs/1/221114_2145_t_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1689,88",25,42247,08/01/2022,90.61,546,299,3625,25134
147,heute journal-heute journal vom 16. November 2022 (Gebärdensprache)-0228760580,2022-11-16,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-16-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221116_2200_sendung_hjo_dgs/1/221116_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1991,36",25,49784,08/01/2022,136.27,593,325,4286,29365
148,heute journal-heute journal vom 17. November 2022 (Gebärdensprache)-1244000574,2022-11-17,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-17-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221117_2145_sendung_hjo_dgs/1/221117_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1689,96",25,42249,08/01/2022,107.13,518,280,3362,23344
149,heute journal-heute journal vom 18. November 2022 (Gebärdensprache)-1728213376,2022-11-18,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-18-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221118_2200_sendung_hjo_dgs/1/221118_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1813,92",25,45348,08/01/2022,114.17,562,272,3852,26627
150,heute journal-heute journal vom 19. November 2022 (Gebärdensprache)-1574951032,2022-11-19,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-19-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221119_2315_sendung_hjo_dgs/1/221119_2315_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"879,64",25,21991,08/01/2022,46.19,240,151,1723,11711
151,heute journal-heute journal vom 20. November 2022 (Gebärdensprache)-1042115730,2022-11-20,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-20-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221120_2145_sendung_hjo_dgs/1/221120_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1665,92",25,41648,08/01/2022,102.96,481,262,3302,22732
152,heute journal-heute journal vom 21. November 2022 (Gebärdensprache)-0280327408,2022-11-21,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-21-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221121_2045_sendung_hjo_dgs/3/221121_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"553,76",25,13844,08/01/2022,29.94,168,95,1173,8113
153,heute journal-heute journal vom 22. November 2022 (Gebärdensprache)-1478025332,2022-11-22,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-22-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221122_2045_sendung_hjo_dgs/1/221122_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"528,28",25,13207,08/01/2022,33.33,161,85,1133,7956
154,heute journal-heute journal vom 23. November 2022 (Gebärdensprache)-1196834750,2022-11-23,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-23-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221123_2140_sendung_hjo_dgs/1/221123_2140_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1848,16",25,46204,08/01/2022,126.24,559,302,3985,27350
155,heute journal-heute journal vom 24. November 2022 (Gebärdensprache)-0859968008,2022-11-24,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-24-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221124_2045_sendung_hjo_dgs/1/221124_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"521,8",25,13045,08/01/2022,30.72,161,92,1083,7672
156,heute journal-heute journal vom 25. November 2022 (Gebärdensprache)-0938922312,2022-11-25,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-25-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221125_2200_sendung_hjo_dgs/1/221125_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1847,24",25,46181,08/01/2022,109.02,596,339,3986,27987
157,heute journal-heute journal vom 27. November 2022 (Gebärdensprache)-0071990722,2022-11-27,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-27-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221127_2045_sendung_hjo_dgs/1/221127_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"529,28",25,13232,08/01/2022,36.96,174,102,1208,8165
158,heute journal-heute journal vom 28. November 2022 (Gebärdensprache)-1804154498,2022-11-28,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-28-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221128_2145_sendung_hjo_dgs/1/221128_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1757,28",25,43932,08/01/2022,106.16,554,298,4055,28002
159,heute journal-heute journal vom 29. November 2022 (Gebärdensprache)-1044878466,2022-11-29,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-29-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221129_2145_sendung_hjo_dgs/3/221129_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1796,76",25,44919,08/01/2022,126.61,531,295,3624,25657
160,heute journal-heute journal vom 30. November 2022 (Gebärdensprache)-1936860270,2022-11-30,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-30-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221130_2045_sendung_hjo_dgs/1/221130_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"558,8",25,13970,08/01/2022,35.46,165,101,1059,7401
161,heute journal-heute journal vom 1. Dezember 2022 (Gebärdensprache)-0236683989,2022-12-01,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-1-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221201_2145_sendung_hjo_dgs/1/221201_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1799,04",25,44976,08/01/2022,115.84,500,308,3448,23387
162,heute journal-heute journal vom 2. Dezember 2022 (Gebärdensprache)-0369145575,2022-12-02,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-2-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221202_2045_sendung_hjo_dgs/1/221202_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,547,25,13675,08/01/2022,36.63,168,100,1135,7935
163,heute journal-heute journal vom 3. Dezember 2022 (Gebärdensprache)-2078455465,2022-12-03,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-3-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221203_2344_sendung_hjo_dgs/1/221203_2344_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"867,64",25,21691,08/01/2022,48.41,252,156,1810,12397
164,heute journal-heute journal vom 4. Dezember 2022 (Gebärdensprache)-1024661275,2022-12-04,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-4-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221204_2145_sendung_hjo_dgs/1/221204_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1684,44",25,42111,08/01/2022,111.11,479,283,3167,22266
165,heute journal-heute journal vom 5. Dezember 2022 (Gebärdensprache)-0418831711,2022-12-05,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-5-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221205_2045_sendung_hjo_dgs/1/221205_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"547,28",25,13682,08/01/2022,33.21,175,107,1172,8237
166,heute journal-heute journal vom 6. Dezember 2022 (Gebärdensprache)-1355611733,2022-12-06,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-6-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221206_2315_sendung_hjo_dgs/1/221206_2315_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1693,96",25,42349,08/01/2022,102.38,519,313,3612,25235
167,heute journal-heute journal vom 7. Dezember 2022 (Gebärdensprache)-1737403330,2022-12-07,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-7-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221207_2145_sendung_hjo_dgs/4/221207_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1826,4",25,45660,08/01/2022,92.4,584,332,3999,27191
168,heute journal-heute journal vom 8. Dezember 2022 (Gebärdensprache)-1998115933,2022-12-08,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-8-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221208_2200_sendung_hjo_dgs/1/221208_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1765,96",25,44149,08/01/2022,115.86,557,309,3840,26580
169,heute journal-heute journal vom 9. Dezember 2022 (Gebärdensprache)-1127854693,2022-12-09,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-9-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221209_2200_sendung_hjo_dgs/1/221209_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1705,64",25,42641,08/01/2022,117.16,529,293,3538,24947
170,heute journal-heute journal vom 10. Dezember 2022 (Gebärdensprache)-0089689363,2022-12-10,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-10-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221210_2045_sendung_hjo_dgs/1/221210_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"490,6",25,12265,08/01/2022,29.49,161,93,1082,7387
171,heute journal-heute journal vom 11. Dezember 2022 (Gebärdensprache)-1642474413,2022-12-11,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-11-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221211_2145_sendung_hjo_dgs/1/221211_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1676,92",25,41923,08/01/2022,106.13,511,307,3409,23407
172,heute journal-heute journal vom 12. Dezember 2022 (Gebärdensprache)-1483496213,2022-12-12,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-12-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221212_2145_sendung_hjo_dgs/1/221212_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1711,32",25,42783,08/01/2022,98.91,499,275,3333,23486
173,heute journal-heute journal vom 13. Dezember 2022 (Gebärdensprache)-1311523955,2022-12-13,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-13-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221213_2315_sendung_hjo_dgs/1/221213_2315_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1822,2",25,45555,08/01/2022,102.51,548,310,3781,25592
174,heute journal-heute journal vom 15. Dezember 2022 (Gebärdensprache)-1208617107,2022-12-15,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-15-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221215_2215_sendung_hjo_dgs/1/221215_2215_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1735,72",25,43393,08/01/2022,103.19,526,307,3644,25016
175,heute journal-heute journal vom 16. Dezember 2022 (Gebärdensprache)-1539280995,2022-12-16,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-16-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221216_2200_sendung_hjo_dgs/1/221216_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1945,68",25,48642,08/01/2022,116.24,578,337,3987,27824
176,heute journal-heute journal vom 17. Dezember 2022 (Gebärdensprache)-1692543339,2022-12-17,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-17-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221217_2315_sendung_hjo_dgs/1/221217_2315_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"890,28",25,22257,08/01/2022,53.88,284,157,1987,13708
177,heute journal-heute journal vom 18. Dezember 2022 (Gebärdensprache)-1235516511,2022-12-18,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-18-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221218_2145_sendung_hjo_dgs/1/221218_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,1683,25,42075,08/01/2022,110.53,463,267,3210,22092
178,heute journal-heute journal vom 19. Dezember 2022 (Gebärdensprache)-1890454115,2022-12-19,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-19-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221219_2145_sendung_hjo_dgs/1/221219_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1734,72",25,43368,08/01/2022,103.54,542,312,3706,25418
179,heute journal-heute journal vom 20. Dezember 2022 (Gebärdensprache)-1942331151,2022-12-20,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-20-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221220_2145_sendung_hjo_dgs/1/221220_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1682,64",25,42066,08/01/2022,107.86,529,319,3611,24208
180,heute journal-heute journal vom 21. Dezember 2022 (Gebärdensprache)-0773334481,2022-12-21,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-21-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221221_2145_sendung_hjo_dgs/1/221221_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1943,44",25,48586,08/01/2022,109.06,567,353,3795,26083
181,heute journal-heute journal vom 22. Dezember 2022 (Gebärdensprache)-0193425911,2022-12-22,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-22-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221222_2205_sendung_hjo_dgs/1/221222_2205_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1661,72",25,41543,08/01/2022,94.44,494,307,3351,23174
182,heute journal-heute journal vom 23. Dezember 2022 (Gebärdensprache)-2127825965,2022-12-23,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-23-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221223_2245_sendung_hjo_dgs/1/221223_2245_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1661,96",25,41549,08/01/2022,100.95,521,307,3464,23828
183,heute journal-heute journal vom 27. Dezember 2022 (Gebärdensprache)-1945678243,2022-12-27,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-27-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221227_2145_sendung_hjo_dgs/1/221227_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1746,92",25,43673,08/01/2022,92.53,535,316,3725,25437
184,heute journal-heute journal vom 28. Dezember 2022 (Gebärdensprache)-1180292383,2022-12-28,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-28-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221228_2145_sendung_hjo_dgs/1/221228_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1694,44",25,42361,08/01/2022,97.87,521,320,3586,24349
185,heute journal-heute journal vom 29. Dezember 2022 (Gebärdensprache)-0011295713,2022-12-29,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-29-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221229_2145_sendung_hjo_dgs/1/221229_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1787,52",25,44688,08/01/2022,106.87,539,338,3890,26130
186,heute journal-heute journal vom 30. Dezember 2022 (Gebärdensprache)-1347397359,2022-12-30,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-30-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221230_2242_sendung_hjo_dgs/1/221230_2242_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1768,96",25,44224,08/01/2022,104.17,544,309,3735,25344
187,heute journal-heute journal vom 2. Januar 2023 (Gebärdensprache)-1065536890,2023-01-02,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-2-januar-2023-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/23/01/230102_2145_sendung_hjo_dgs/1/230102_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1685,84",25,42146,08/01/2022,104.83,529,278,3657,25531
188,heute journal-heute journal vom 3. Januar 2023 (Gebärdensprache)-0103459780,2023-01-03,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-3-januar-2023-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/23/01/230103_2145_sendung_hjo_dgs/1/230103_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1640,4",25,41010,08/01/2022,112.42,531,320,3774,25571
189,heute journal-heute journal vom 4. Januar 2023 (Gebärdensprache)-1272456450,2023-01-04,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-4-januar-2023-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/23/01/230104_2145_sendung_hjo_dgs/1/230104_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1690,12",25,42253,08/01/2022,101.68,512,280,3526,24816
190,heute journal-heute journal vom 5. Januar 2023 (Gebärdensprache)-1853514176,2023-01-05,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-5-januar-2023-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/23/01/230105_2145_sendung_hjo_dgs/1/230105_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1790,84",25,44771,08/01/2022,105.31,459,289,3267,22175
